Ticker,2015-02-18,2016-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01
SP500,-0.1883932978548068,-0.6925244306043873,-0.4927779317730851,-0.1649187023463511,-0.8058831642247823,-0.7429315711055438,-0.6677913345321377,0.3692313392395794,-0.1828973026306941,-0.017405562502461,-0.4680955679376842,0.0846986480329522,0.0674603425750533,-0.039615901810763,-0.0435307495805846,-0.7595107961888016
LNT,,,0.984413453650533,,-2.28690228690229,-0.372208436724565,-0.37914691943128,1.33165729067183,2.188635745018471,4.531077923124445,1.341759352881697,1.078826237054085,1.431205591498335,6.99138502319417,3.744856981392642,-0.4646030786627351
AWK,,1.742408018794228,2.3107011064410754,,,3.50154479917611,,5.15463917525773,6.19718309859155,,4.51807228915663,0.239163314377532,-0.6672353070658164,,,
MKTX,,,,,,,,,,,,2.78688524590164,,,,
SYY,-1.8720975232198145,,0.27972027972028,1.5130674002751,,,,,,,,-1.29449838187702,,,,
VZ,-0.238262751898822,-0.9657304825915018,0.9906614639601106,0.1921931581224643,-0.7377743938655776,-2.960818203915391,-1.263602148662076,2.947393753281271,0.6020414440381762,-0.0987833464482726,-3.698978640486984,-1.4601155921077702,-0.1947097547684735,0.6203087585884196,-0.1905295300358481,-0.7464699672414871
REGN,,,1.42421159715158,-2.4633029007002243,,-1.5932702822229523,,-2.5938509742356266,-3.42910101946247,-0.2151245953474365,,5.76923076923077,-0.399367904306291,,,
C,-3.307584722459273,0.9195062067784274,0.4051354669305755,0.7311668460493805,-1.03225182433292,0.4564686583700389,-3.1024391924077515,-0.6562809451295073,-1.3947168057656905,-0.2089040352690652,-1.0772326511845258,0.9273826362581408,-0.1984203657937051,0.5083535130095361,-0.7565096457631963,-1.3419983659920918
PXD,,,0.817631442631443,,,-0.964187327823691,-1.42857142857143,2.36051502145923,,0.4956371814698307,,0.7254340411733355,,,,
MS,-0.7324419323482262,0.682044185075743,0.3324877461297081,0.999275406130124,0.5153483541621435,0.0568578040523764,0.7806646020215579,2.0657923854030265,0.4040534076904779,0.5556849621421919,0.4468262480328505,-0.3247407312694516,-0.6380115787429461,-0.1798183628558227,-0.3570916954981596,-0.4835580740945402
NTRS,,,0.1410467388208767,-1.25944584382872,,,,3.33333333333333,0.1028941051717199,,-1.5709263410361551,-0.6404818275884877,0.78740157480315,0.639488409272582,,
HES,,-3.94518726356103,-1.968211824754753,0.62047569803516,,,3.7108125399872,,0.1561823834885141,0.91324200913242,-1.036544642275632,-0.12547051442911,5.61555075593953,-0.644822792219887,1.58434296365331,
EW,,,,,,,-0.151515151515151,,,,,-3.72670807453416,,1.14613180515759,,
MDLZ,,,2.43926815871625,1.4020851609420326,3.125,,,4.58015267175573,0.6663787589444126,-2.94180113214756,,-0.304878048780488,,1.035683434208365,,
PENN,,,,1.01294316263365,,,,,3.26729343177923,-3.71747211895911,0.850159404888416,-0.404312668463612,,,,
VTR,,,2.44379276637341,-0.845751107531212,,,,,,,,,,,,
ORLY,,,-0.1926505033718097,,,,,,1.54525386313466,,1.88087774294671,-5.29595015576324,,,,
CFG,,,,,,,,,-1.19521912350598,5.36378120021243,,,3.682608564626465,,-1.069223269418265,1.19331742243437
CMS,,,,,,,,,,3.0156366344006,,,,,,
BLK,-3.814147018030515,-0.567827873123355,0.588634473223768,0.3438771522193602,0.9813399324041174,-1.323286686921355,-0.8848951833090185,-0.3608793619594139,0.654680538276331,0.9799826703034432,0.4323579137995118,0.2796546396910392,0.712517289048117,-2.1446485649658595,0.2427380855842436,-1.054296797572086
PHM,,,-0.0590570064992685,,,,,-0.9435291863103876,,,,,-3.60145308731427,,2.75229357798165,
AVGO,,,-0.3654689181672229,2.0202810058901304,0.7506671691921103,,,-1.13735783027122,-0.844780117856352,-0.5056507703738767,-0.3344383899198525,0.2564576698231696,-0.0806134433562495,1.3921139264126257,0.0802820622021265,
XOM,-2.4687796378386992,-3.513069400224082,-0.9089913220887288,-1.3222500969464923,-1.1278765236265844,2.0314373872594462,-0.2070903041400627,0.065098230623644,-1.8670306377321813,-1.844082958252308,0.5781427632567957,-0.833688531745866,0.23774270375882,-0.3628503985532924,-1.2782274000043203,-1.4233672500569323
DISCA,3.5121109732974034,1.704698467483574,0.7092563313894552,0.3733063621354883,0.1327886238298725,1.2096190755330505,2.4158922162374905,0.5912645012126774,2.1378494285183542,0.6036665478518648,-1.2773514932173426,0.8093801692404546,0.5081616828909823,-1.1492625317928258,-1.6668321746285502,-3.352110880353765
AME,,,,0.626304801670146,,,,,,,,,,,,
GPN,,,,1.786100365231221,,,,1.3048881071532632,,,,,,-0.2440733398549028,,
AES,,,,,,,,,,,,,,,,4.09233997901364
UNP,-1.96078431372549,-3.7743107044404502,2.2366536346025674,-3.1303850593247,-1.0138286371214709,0.84929216835601,0.4582879664070707,-1.6477285482295747,-0.1080937213048918,0.6421700484230691,0.7954905554129872,-1.2779557346457897,1.8906820661716397,-1.4805368914941286,1.7114225672872512,0.896860986547085
LRCX,,,,,0.784313725490196,1.89639052688148,-3.2520325203252,,4.48717948717949,-3.71747211895911,-0.677966101694914,,-1.63132137030995,-0.8701336297890385,,
LEN,,,,0.286806883365201,,-3.505887248327893,,-0.864762803870661,,0.739466895958727,,,-3.21695417340359,,0.338753387533875,
COO,,,,2.08333333333333,,,,,,,,,,,1.98076482711243,
ADBE,,,,1.0789906652862902,0.932459776922317,,,,8.329248235415298,,,0.95338285549424,0.0949751841812487,0.9068547469335037,4.6387670426148615,
JKHY,,,,,,,,3.91849529780564,4.02278841588859,,,,,,6.88888888888889,
FLT,,,,1.12359550561798,,,,,,,,,,,-5.21739130434783,
UHS,,,,,,,,,,,,,,,,
ZION,,,,0.254452926208651,-0.223713646532438,,,,0.470809792843691,,,,,,,
DAL,,0.0,-0.3428677147027351,-6.859848643809364,6.22406639004149,-0.0384216920217571,-1.1809444192803096,0.7721360128665281,-2.6533754397948903,2.3335186387169182,-0.4173150456527854,-2.153739187948362,-3.5455732278119827,-0.818729307053961,-0.7299888533432942,0.8092323771441197
GNRC,,,,,,0.0,,,,,,,,-2.01511335012595,,
WEC,,,,,,,,6.43776824034335,-0.130718954248366,,,1.08267716535433,,,,
CTXS,,,-4.91803278688525,,,,-0.843170320404722,0.5251829093925348,,,,-0.12547051442911,,,,
URI,,,,,,,,,,,,,,0.8104529318400159,,
GD,,,,,,,,,,,,,,,,
GILD,-8.2089552238806,,-0.727210054894456,-1.0943469043672511,3.46153846153846,-2.28799709460686,,-0.5863520362540404,1.3721905084069634,-2.7091006174558423,-4.574677203412907,1.007703709579072,,0.030165624444515,0.7413212385518533,
Utilities,-1.4670170818565411,-1.00976084547479,0.494018132617684,0.3759704596698959,-0.0786360133032741,-0.5465237602152425,-2.174918477872972,0.3895974434444583,0.6266122789877491,1.7785225716189288,0.939425132839774,0.3117059428606988,0.3873427192854972,0.9870861903796648,1.1185049685837352,-1.3604361952212858
COF,,1.14613180515759,0.678886625933469,-1.5449863477719037,-0.1083138173302099,,,,,,,,,-0.425531914893617,,
AAL,-1.7604948181639164,0.4265175322467865,-1.1402391660815865,0.845580660811302,-0.4321138096017307,-0.8339866914197656,-0.9407465283446436,1.1622331240796384,0.7505288837948623,-0.204366667358715,-0.0078616811981008,1.1564102637241125,-1.602456461023665,-1.5480370439768567,-1.0991185393923912,-0.1017704088408064
ABMD,,,,0.389105058365759,,,,,,,,,,,,
STZ,,,1.53005464480874,,,,,,,-0.397350993377484,,,-1.5368635265188448,,,
REG,,,,,,,,,,,,,,,,